x,y,z,label,BHD_cm,Hoehe_m,Fit_RMS_cm,Bogen_deg,Punkte
34.961,4.892,1.928,Baum 01,75.8,26.8,2.9,90,80
47.566,-1.902,5.795,Baum 02,61.2,21.0,1.6,190,922
46.049,-3.01,3.301,Baum 03,55.4,23.5,1.3,150,952
30.191,-6.377,4.304,Baum 04,54.6,24.5,1.8,190,35180
37.842,-0.28,2.754,Baum 05,53.8,26.3,1.1,180,1558
38.546,-12.096,7.736,Baum 06,49.3,17.3,2.5,230,2080
37.17,9.869,1.241,Baum 07,46.4,21.9,2.4,170,422
46.599,0.881,2.122,Baum 08,46.0,23.7,1.9,110,55
40.487,-4.497,3.347,Baum 09,45.9,26.2,1.4,170,2228
32.778,6.428,2.083,Baum 10,45.2,25.9,1.4,180,338
21.73,-4.559,4.033,Baum 11,44.6,18.3,0.7,130,337
43.64,0.731,2.411,Baum 12,44.2,20.7,1.0,170,950
34.459,9.953,5.249,Baum 13,43.9,16.7,2.4,120,78
17.095,-11.934,5.363,Baum 14,43.4,21.3,1.8,150,123
34.891,1.559,3.193,Baum 15,41.5,26.9,1.5,110,581
35.199,7.871,1.66,Baum 16,39.1,24.7,1.2,200,888
31.576,7.763,1.871,Baum 17,33.3,26.1,1.5,140,103
39.896,-8.681,10.381,Baum 18,31.5,16.8,2.9,140,65
28.704,11.948,1.231,Baum 19,30.2,18.1,0.7,130,91
37.085,-7.45,4.564,Baum 20,28.6,26.4,2.2,170,2471
31.101,-4.396,9.172,Baum 21,27.0,18.3,1.1,180,612
35.837,2.804,7.827,Baum 22,26.7,22.3,2.8,140,83
39.829,5.624,1.606,Baum 23,24.2,24.2,1.8,170,141
37.161,1.543,2.06,Baum 24,24.0,28.0,0.7,180,106
23.945,-3.186,3.528,Baum 25,23.8,15.9,0.5,320,356
30.862,9.014,3.132,Baum 26,22.9,19.3,1.2,170,117
26.918,-13.181,9.549,Baum 27,22.2,19.3,2.7,220,82
39.873,-11.87,6.59,Baum 28,22.0,18.4,2.8,160,40
43.365,-8.056,4.184,Baum 29,21.2,21.6,1.7,130,177
43.886,0.116,2.367,Baum 30,21.0,22.3,0.9,150,398
31.626,2.252,3.589,Baum 31,20.7,27.2,2.3,180,51
31.205,-19.567,8.63,Baum 32,20.5,17.4,2.9,180,65
45.342,-8.431,4.256,Baum 33,20.4,12.2,2.4,200,96
43.118,-5.611,3.52,Baum 34,19.3,23.9,2.7,170,43
20.887,4.084,5.17,Baum 35,19.1,20.7,2.1,160,45
35.864,2.142,5.381,Baum 36,19.0,24.7,2.0,150,80
27.202,5.059,1.941,Baum 37,18.7,22.6,1.9,340,349
39.39,-7.753,4.068,Baum 38,18.5,26.2,2.0,180,112
45.033,-7.116,3.814,Baum 39,18.3,17.4,2.7,230,43
16.238,-2.208,3.77,Baum 40,17.9,10.0,2.5,160,53
47.256,3.537,1.511,Baum 41,17.8,13.1,1.1,140,61
40.619,-11.36,8.094,Baum 42,17.3,14.4,2.7,150,48
33.195,-9.36,4.431,Baum 43,17.1,23.7,2.8,290,155
25.517,-14.951,7.424,Baum 44,17.0,16.2,2.1,170,47
32.609,-8.201,4.177,Baum 45,16.7,21.1,2.0,240,1653
37.895,-12.533,7.624,Baum 46,16.3,21.0,2.6,190,92
28.111,-4.581,3.653,Baum 47,16.2,23.3,2.1,200,206
37.244,0.063,2.37,Baum 48,16.1,26.7,2.8,270,203
32.421,8.484,7.632,Baum 49,16.0,16.8,2.2,150,40
35.227,-7.765,4.205,Baum 50,15.7,25.0,2.3,160,170
35.564,4.07,2.787,Baum 51,15.6,25.9,0.5,180,390
19.672,-5.78,6.513,Baum 52,15.4,20.3,2.6,190,54
28.256,-6.623,4.118,Baum 53,15.2,22.9,0.9,100,97
46.137,-4.019,3.704,Baum 54,15.2,22.8,2.3,180,40
29.093,-10.713,7.114,Baum 55,14.7,19.8,3.0,180,55
33.259,-13.384,6.642,Baum 56,14.6,18.1,2.0,140,47
18.592,-7.336,4.382,Baum 57,14.2,20.4,0.8,140,65
20.107,-10.53,5.174,Baum 58,13.6,20.7,0.8,100,66
41.84,-4.808,3.551,Baum 59,13.4,23.5,1.7,180,471
26.68,-6.554,4.054,Baum 60,13.3,22.5,1.6,150,58
29.228,-11.602,5.187,Baum 61,13.1,21.4,2.5,200,86
45.998,-7.773,3.887,Baum 62,13.0,12.8,1.2,140,54
26.911,2.271,2.501,Baum 63,12.9,3.3,2.7,260,72
34.572,-1.339,2.877,Baum 64,12.8,28.8,1.9,180,79
27.888,-12.932,7.866,Baum 65,12.1,21.0,2.8,170,40
32.181,-7.127,4.067,Baum 66,11.6,20.9,0.7,150,1973
27.196,3.51,2.142,Baum 67,11.5,18.6,1.9,140,48
28.908,3.052,2.397,Baum 68,11.3,22.6,1.5,240,42
35.001,-0.598,2.646,Baum 69,11.2,29.0,2.2,360,555
37.424,-19.592,12.048,Baum 70,11.2,14.6,2.5,200,42
40.322,-14.101,13.536,Baum 71,10.9,13.1,2.2,250,54
28.905,-4.221,3.494,Baum 72,10.6,23.5,2.6,330,711
23.534,-6.576,5.955,Baum 73,10.6,15.6,2.1,230,92
21.625,5.695,2.119,Baum 74,9.9,19.7,1.5,180,131
40.619,1.96,12.449,Baum 75,9.9,13.0,2.0,250,62
27.667,-6.756,4.09,Baum 76,9.8,22.5,1.1,150,63
45.077,-9.474,4.556,Baum 77,9.8,11.4,1.4,120,42
20.704,-4.873,3.96,Baum 78,9.7,22.9,2.0,150,57
15.127,0.761,3.142,Baum 79,9.6,17.4,2.0,160,44
32.45,-10.874,5.877,Baum 80,9.5,16.3,1.6,310,101
22.945,-3.444,3.641,Baum 81,9.4,18.2,1.9,230,93
43.602,6.319,4.442,Baum 82,9.2,6.9,1.8,150,72
38.531,-13.103,7.222,Baum 83,9.2,18.9,1.5,140,66
46.951,-7.238,3.804,Baum 84,8.6,14.6,2.2,130,46
45.221,-10.299,4.829,Baum 85,8.5,8.8,2.4,190,82
47.265,4.618,1.412,Baum 86,8.3,4.8,1.4,170,75
32.692,-12.893,6.281,Baum 87,8.1,16.9,1.6,220,42
